技能類別,技能項目,1. 一般企業 (甲方),2. SI 系統整合商 (乙方),3. 電信業,4. 博奕業,5. Cloud Network Engineer,技能說明與評估重點
路由與交換 (Routing & Switching),"L2 知識 (VLAN, STP, LACP)",●,★,●,●,-,除了(5)之外，其他產業都是必備技能。
,OSPF,★,★,●,★,-,除了(5)之外，其他產業都是必備的重要技能。
,IS-IS,▲,★,●,-,-,OSPF的另一個選擇，通常大型電信業會使用。
,BGP,●,●,★,★,●,早期只有電信業和大型企業使用，隨EVPN-VXLAN普及，一般有資料中心的企業也大幅採用。博奕業因有多條對外電路，也相當重視此技能。
,EVPN-VXLAN,●,★,▲,-,-,現代化資料中心的基石，是衡量工程師能力的指標。
廣域網路 (WAN),MPLS L3 VPN,▲,●,★,●,-,此項為(3)核心技能，必須精通；(2)有專案經驗更好；(1)了解架構原理即可。
,MPLS L2 VPN (VPLS),-,●,★,-,-,與 L3 VPN 同為電信業重要營收業務。
,SD-WAN,●,★,-,-,-,(1)和(2)較有機會碰到。
,CDN,▲,▲,▲,★,★,是(4)和(5)的重要技能，用於加速內容分發、優化用戶體驗。
無線網路 (WLAN),無線網路建置和維運,★,★,-,-,-,是(1)和(2)的重要技能，為辦公室、廠區的基礎網路設施，非常普遍。
網路安全 (Network Security),防火牆管理 (Firewall),●,●,●,●,●,這是必備技能，即使不精通，也至少要能設定 Network Policy 或 ACL。
,DDoS 攻擊緩解 (DDoS Mitigation),▲,▲,★,★,★,對(4)來說是非常重要的一個技能。
公有雲 (Public Cloud),公有雲基礎 (AWS/GCP/Azure),▲,●,▲,●,★,新世代的網路工程師都需要了解一些公有雲技術。
網路自動化 (Network Automation),腳本語言 (Python),●,●,●,●,★,Python是網路自動化的基石，網路工程師應該多少都要會一點。
,"監控與可視性工具 (Telemetry, Prometheus, Grafana, ELK)",●,●,●,★,★,所有產業都需要這些工具來提供網路可視性，以便維運。
未來趨勢 (Future-Proof),"IaC - 基礎架構即程式碼 (Terraform, Ansible)",●,★,▲,▲,★,用程式碼管理網路，實現規模化、可重複、低風險的交付能力。
,容器網路 (Kubernetes Networking),●,★,▲,●,★,"衡量網路工程師是否跟上雲原生(Cloud Native)時代的關鍵指標。懂得CNI, Service Mesh的人才是市場上的稀缺品。"
,技術文件與知識分享 (Documentation & Knowledge Sharing),★,★,●,▲,★,重要的軟實力，能提升整個團隊的平均水平。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"""★: 超級重要 (Super Important) - 該產業的核心關鍵技能
●: 必須具備此技能 (Must-have)
▲: 具備此技能為佳 (Nice to have)
-: 通常不要求 (Not required)""",,,,,,,
